Bootstrap #,Number of round-trip trades,Total Return,Annualized Return,Buy & Hold Return,Winning Trades,Maximum Drawdown,Strategy Sharpe Ratio,Buy & Hold Sharpe Ratio
91,22,-94.01,-25.94,-99.33,40.91,-99.88,0.28,0.34
92,19,350.72,17.42,-72.35,31.58,-98.76,0.29,0.48
93,22,888.2,27.68,5750.25,36.36,-99.1,0.41,0.4
94,23,-98.57,-36.41,-98.56,39.13,-99.46,0.25,0.42
95,18,-89.62,-21.47,-99.4,38.89,-99.59,0.46,0.49
96,20,89381.47,106.46,-71.39,35,-90.28,0.33,0.49
97,19,2059857.81,188.49,-3.87,42.11,-75.04,0.54,0.6
98,16,1100345.97,169.83,279.27,50,-48.87,0.31,0.44
99,22,18394.41,74.51,2344.41,40.91,-99.7,0.37,0.52
100,20,1960.81,38.09,620.79,25,-74.05,0.28,0.53
,,,,,,,,
,,,,,,,,
,Average Round Trips,Median Total Return %,,Median B&H Return %,Average Winning Trades %,Averager MDD %,Average Sharpe,Average B&H Sharpe
,22,396.6,,-34.2,36.17,-93.46,0.3,0.45
,,,,,,,,
,SD Round Trips,SD Total Return %,,SD B&H Return %,SD Winning %,SD MDD %,SD Sharpe %,SD B&H Sharpe
,3,375427.17,,2384,9.11,11.68,0.15,0.08
